問題番号,設問,正解,選択肢1,選択肢1解説,選択肢2,選択肢2解説,選択肢3,選択肢3解説,選択肢4,選択肢4解説,ドメイン
問題2,MariaはDion Training というテック企業に勤めています。彼女の役割は、会社の情報セキュリティプログラムの開発と管理を行うとともに、機密データと IT システムをサイバー脅威から保護するための情報セキュリティポリシーと手順を定義・策定することです。Mariaの職掌は次のうちどれですか?,セキュリティオフィサー,セキュリティ管理者,セキュリティ管理者は、最高情報セキュリティ責任者やセキュリティ所有者の指導の下で、セキュリティ対策が正しく適用されていることを確認します。ですので、組織全体のセキュリティポリシーとその実装手順の定義に対する責任はありません。,データコントローラー,データコントローラーは、個人データを管理する目的や手段を決定する責任を負っています。データコントローラーは、管理するデータに関するデータセキュリティポリシーに対してある程度の影響力を持つこともありますが、その役割はデータガバナンスとデータ保護規制の遵守により重点が置かれています。,セキュリティオフィサー,セキュリティオフィサーは、最高情報セキュリティ責任者（CISO）または情報セキュリティ・マネージャーとも呼ばれ、組織の情報セキュリティプログラムを指揮・監督する役割を担っています。最高情報セキュリティ責任者は、組織全体にわたって情報セキュリティポリシーとその実装手順を定義・実行することを任務としています。セキュリティオフィサーは、経営陣、ITチーム、コンプライアンス担当者など、さまざまな利害関係者と協力して、セキュリティ対策が組織の目的や業界のベストプラクティスに合致するようにします。セキュリティオフィサーは、セキュリティの日常的な管理と実行に責任を負う役割を担っています。,セキュリティ所有者,セキュリティ所有者は、組織内の特定の資産のセキュリティ全体に責任を負う個人または事業体のことを言います。特定のシステムまたはデータリポジトリのセキュリティに関する権限を持っている場合もありますが、組織全体のセキュリティポリシーの手順の定義や実行が主な役割ではありません。,Security Program Management and Oversight
問題14,組織のリスク管理戦略を策定する上での有益な情報を提供するために、マルウェア、内部関係者の脅威、不適切なポリシーなどの潜在的な脅威を検出して文書化するプロセスを最もよく表す用語は次のうちどれですか?,リスクの特定,リスクの特定,リスクの特定とは、組織に悪影響を及ぼす可能性のある潜在的な脅威を認識し、記録する能動的なプロセスです。,脅威インテリジェンス,脅威インテリジェンスには、組織のセキュリティを脅かす攻撃に関する情報の収集と分析が含まれますが、リスク特定の広範なプロセスに直接言及するものではありません。,ポリシーの見直し,ポリシーの見直しは、リスクの特定の一部になりえるアクティビティですが、潜在的なリスクの範囲を特定するものではありません。,脆弱性評価,脆弱性評価は、リスク特定の中で、組織のITインフラ内の弱点を特定するために使用される方法です。,Security Program Management and Oversight
問題20,セキュリティアナリストがマルウェアインシデントを調査していたところ、あるマルウェアがあるアカウントを侵害し、正規のユーザーと同時に異なる場所で異なるデバイスからセッションを作成していることが分かりました。この調査結果を通じ、悪意のあるアクティビティとして最も適切と思われるのは次のうちどれでしょうか？,セッションの同時使用,不可能な移動,不可能な移動は、攻撃者またはマルウェアが短期間の間に2つの異なる場所またはデバイスからアカウントを使用したことを示す悪意のあるアクティビティを示す指標であり、なりすましの可能性を示します。,ブロックされたコンテンツ,ブロックされたコンテンツは、攻撃者やマルウェアが、悪意のあるWebサイト、ファイル、電子メールなど、システムのセキュリティポリシーで禁止されているコンテンツにアクセスまたは配信しようとしたことを示す、悪意のあるアクティビティの指標です。,リソース消費,リソース消費は、攻撃者やマルウェアが、CPU、メモリ、ディスク容量、帯域幅などのシステムリソースを大量に使用し、システムのパフォーマンスや可用性に影響を与えたことを示す悪意のあるアクティビティの指標です。,セッションの同時使用,セッションの同時使用は、攻撃者やマルウェアがアカウントに入り、異なる場所やデバイスから正規のユーザーとは異なるセッションを作成していることを示す、悪意のあるアクティビティです。,"Threats, Vulnerabilities, and Mitigations"
問題36,ハードウェア、ソフトウェア、およびデータ資産の効果的な管理において、列挙することの価値を表しているのは次のうちどれですか？,列挙により、ハードウェア、ソフトウェア、およびデータ資産に一意の識別子とアクセス制御が割り当てられます。,列挙では、組織にとっての価値に基づいて、すべてのハードウェア、ソフトウェア、およびデータ資産がランク付けされ、優先順位が付けられます。,資産の重要性と価値に基づいて優先順位をつけることは資産管理の重要な側面ですが、列挙の概念を完全に網羅するものではありません。列挙には、単にランク付けするだけではなく、その属性に基づいて資産を特定し、安全性を確保することに関するより詳細で具体的な実践が含まれます。,列挙により、ハードウェア、ソフトウェア、およびデータ資産に一意の識別子とアクセス制御が割り当てられます。,ハードウェア、ソフトウェア、データ資産管理の文脈における列挙とは、各資産に一意の識別子、アクセス制御、属性などを割り当てることを指します。このプロセスは、アクセス許可のきめ細かな制御を行う際に役立ち、許可されたユーザーのみが資産にアクセスできるようにします。不正アクセスを防止し、リソースの適切な管理を保証することは、データの機密性、完全性、可用性を維持する上で重要な役割を果たします。,列挙により、ハードウェア、ソフトウェア、データ資産の潜在的な脆弱性が特定されます。,列挙は、潜在的な脆弱性の特定と密接に関連していますが、この回答はハードウェア、ソフトウェア、およびデータ資産管理におけるその本質を完全には捉えてはいません。列挙は、脆弱性だけに焦点を当てるのではなく、資産を分類し理解することに重点を置いています。,列挙では、組織内のすべてのハードウェア、ソフトウェア、およびデータ資産を識別してカウントします。,ハードウェア、ソフトウェア、およびデータ資産の在庫情報を作成することが含まれる場合もありますが、その主な目的は、単に数を数えることではありません。列挙は、単純に項目を列挙するだけではなく、セキュリティの観点からこれらの資産の属性や特性を特定することを含みます。,Security Operations
問題46,あなたは、日常業務に複数のラップトップ（ノートパソコン）とデスクトップパソコンを使用する中小企業のシステム管理者です。最近、従業員のデバイスの一部がサーバー上のポートを開くために使用されているようなのですが、あなたは攻撃者がこれを行ったと疑っています。従業員は業務の一環としてポートを開くことができますが、ポートが開かれたのは、従業員がコンピューターの前にいないときでした。さらに、開いているポートがデータの流出に悪用されたため、上司は不満を抱いているようです。この問題の再発を防ぐ上で有効な軽減策は次のうちどれですか?,ホストベースの侵入防御システム(HIPS),ポートとプロトコルの無効化,ポートやプロトコルを無効にすることは、潜在的な攻撃を受ける機会を減らすのに役立つハードニング技術です。これは、ファイアウォール、スイッチ、ルーター、ホスト上で行うことができ、システムやデバイスの通常の動作に必要のないネットワーク・ポートやプロトコルを閉じたり、ブロックしたりすることができます。ポートは、ネットワークトラフィックの宛先や送信元を特定する数値識別子であり、プロトコルとは、ネットワークトラフィックのフォーマットや送信方法を定義するルールのことです。問題は、ポートが閉じられていないことではなく、ポートが閉じられている状態から、攻撃者によってポートが開かれることです。ポートを閉じたり無効にしたりしても、攻撃者が再びポートを開くことを防ぐことはできません。,権限によるアクセス制御,アクセス許可によるアクセス制御は、システムやデバイス上でのプログラムやスクリプトの不正な実行を防ぐのに役立つ手法です。これは、ポリシーによってアクセス許可を定義し、そのポリシーをプログラム、スクリプト、ファイル、フォルダ、データベースなどのリソースに適用することで実現されます。適切な権限を持たないユーザーは、リソースにアクセスすることができません。この場合、従業員は仕事を行うためにポートを開く権限が必要であるため、ポートを開く権限がないと業務を行うことができません。,ホストベースの侵入防御システム(HIPS),ホストベースの侵入防御システム（HIPS）を使用することは、攻撃の発生を防ぐのに役立つハードニング技術です。HIPSは、システムやデバイスにインストールされ、ファイルの変更やレジストリの変更などの不正なアクションを検出・防止するソフトウェアです。HIPSは攻撃者の侵入を検知し、ポートの変更を防ぐことができます。,パッチ適用,パッチは、システムやデバイスの既知の脆弱性を悪用されないようにするための手法であり、最新のセキュリティ修正プログラムや機能強化プログラムでアップデートすることによって有効化します。パッチの適用には、ソフトウェアシステムにアップデートを適用することが含まれます。ただし、パッチを適用したとしても攻撃者が従業員のデバイスにアクセスすることを防ぐことはできません。,"Threats, Vulnerabilities, and Mitigations"
問題58,美術会社であるAntatack社がデータ侵害にあいました。セキュリティアナリストのBarzanが調査のために雇われ、調査をしたところ、建物の近くで不正な WAP が発見されました。攻撃者はこのWAPを使用し、Anatack のクライアントに関する情報を入手していたようです。この調査結果によって推測されるネットワーク攻撃は次のうちどれですか?,オンパス,増幅,増幅攻撃とは、DDoS攻撃の一種で、スプーフィングされた送信元IPアドレスからのリクエストをサーバーに送信し、大規模なレスポンスを生成することで、ターゲットサーバーに送信されるトラフィックを増幅させる攻撃です。,反射,反射型攻撃とは、分散型サービス拒否（DDoS）攻撃の一種で、スプーフィングされたソースIPアドレスでリクエストをサーバーに送信し、そのレスポンスをターゲットサーバーにリダイレクトすることで、トラフィックをターゲットサーバーに反射させる攻撃です。,無線,無線攻撃は、暗号化、認証、設定など、ワイヤレスネットワークやデバイスの脆弱性や弱点を突くネットワーク攻撃の一種です。今回の攻撃はワイヤレスデバイスを通じて行われましたが、ワイヤレスデバイスやネットワークの特定の脆弱性によるものではありません。,オンパス,オンパス攻撃とは、ネットワーク攻撃の一種で、パケットスニッファーやプロキシサーバー、あるいは今回のケースでは不正なWAPを使用するなどして、2者間で転送中のデータを傍受または変更することです。,Security Program Management and Oversight
問題66,ある企業は、従業員が自社のリソースを適切な方法で使用できるようにしたいと考えています。この検討事項に対処するため、企業が導入できる指示的な統制方法の例は次のうちどれですか?,すべての従業員にAUP（利用規定）を読んで署名することを義務付ける,不正アクセスの兆候がないかログファイルを確認する,不正アクセスの兆候がないかログファイルの確認をすることは、セキュリティインシデントを検出するために使用される検出的統制の一例です。,単一要素認証が失敗した場合の多要素認証の実装,単一要素での認証に失敗した場合に多要素認証を導入することは、追加のセキュリティを提供する代償的コントロールの一例です。,すべての従業員にAUP（利用規定）を読んで署名することを義務付ける,利用規定（AUP）は、指示的な統制の一例です。これは、会社のリソースを利用する際、どのような行動が許され、どのような行動が許可されないかを規定することで、従業員の行動を指示するのに役立ちます。,従業員向けの定期的なセキュリティ意識向上研修の実施,従業員に対する定期的なセキュリティ意識向上トレーニングの実施は、予防的管理の一例であり、セキュリティインシデントの発生を未然に防ぐために実施されます。,General Security Concepts
問題70,ゼロトラストモデル内のコントロールプレーンを最もよく説明しているのは次のうちどれですか?,ポリシーと脅威に基づいてアクセスを決定します。,ネットワーク内の潜在的な損害の範囲を制限します。,コントロールプレーンの決定は、ネットワークリソースへのセグメント化されたアクセスを強制することで、間接的に潜在的な損害の範囲を制限することができますが、その主な役割は、ポリシー強制の結果と混同されるべきではありません。,承認されたデータの効率的な送信を保証します。,コントロールプレーンはデータの効率的な送信を直接保証するものではありません。これはデータプレーンの役割です。,ユーザーの行動に基づいてセキュリティに関する決定を採用します。,コントロールプレーンは意思決定プロセスの一部としてユーザーの行動を考慮しますが、ユーザーの行動に基づいてセキュリティの決定をすることは、コントロールプレーンの機能の一つにすぎません。,ポリシーと脅威に基づいてアクセスを決定します。,ゼロトラストモデル内のコントロールプレーンは、基本的にポリシーと脅威に基づいてアクセスを決定する責任を負っており、これは動的で多面的なタスクです。,General Security Concepts
問題86,大規模な多国籍企業では、アクセス制御メカニズムが、職務、部門、場所、アクセス時間などのさまざまなユーザー機能を動的に評価して、特定のリソースへのアクセス権を決定します。このシナリオではどのタイプのアクセス制御メカニズムが使用されていますか？,属性ベース,ルールベース,「ルールベースのアクセス制御」は、様々なアクセス制御の仕組みを包含しうる広い用語です。シナリオではユーザー属性の動的な評価について言及していますが、アクセス許可は様々な特徴の組み合わせに基づいて行われます。,役割ベース,「役割（ロール）ベースのアクセス制御」（RBAC）は、ユーザーのロールや職務に基づいてリソースへのアクセスを決定する仕組みです。ユーザーには特定のロールが割り当てられ、アクセス許可はそれらのロールに関連付けられます。今回のシナリオでは、アクセス制御の仕組みは、あらかじめ定義された役割にのみ基づくのではなく、職務上の役割、場所、アクセス時間など、さまざまな属性を評価するものとして説明されています。,裁量ベース,「裁量ベースのアクセス制御」（DAC）は、個々のユーザーが自分のリソースのアクセス許可を裁量または制御できるようにするものです。DACシステムでは、リソースの所有者は、自分の判断に基づいて、誰がアクセス権を持ち、どのレベルのアクセス権を付与するかを決定することができます。このシナリオでは、ユーザーがアクセス権に対してこのレベルの裁量を持つことを記述しているのではなく、アクセス制御に関する機能の自動評価について記述しています。,属性ベース,このシナリオでは、大規模な多国籍企業で使用されているアクセス制御メカニズムは、「属性ベースのアクセス制御」（ABAC）です。ABACシステムは、職務、部署、場所、アクセス時間など、さまざまなユーザー属性に基づいてアクセス許可が動的に評価されます。システムはこれらの属性を組み合わせてアクセス制御を決定し、よりきめ細かいアクセス制御を可能にします。,Security Operations
問題6,SIEMの重要性に関し、誤っているものは次のうちどれですか?,SIEMシステムは、安全なソフトウェア システムの調達と資産管理に役立ちます。,SIEMシステムは、組織の IT機器のデータベースを作成および維持できます。,SIEMシステムは、包括的なデータ収集の一部として組織のIT機器の記録を作成および維持できます。,SIEMシステムは、ログ データを収集および集約することにより、組織の ITセキュリティの統一されたビューを提供します。,SIEMシステムは、組織のITインフラストラクチャ内のさまざまなソースからログデータを収集および集約し、セキュリティ状況の一元的な見解を提供します。,SIEMシステムは、安全なソフトウェア システムの調達と資産管理に役立ちます。,SIEMシステムはソフトウェアの調達や資産管理に使用されるものではありません。その主な目的は、セキュリティアラートのリアルタイム分析を提供し、組織のセキュリティシナリオの全体像を提供することです。,SIEMシステムは、アプリケーションやネットワーク ハードウェアによって生成されるセキュリティ アラートのリアルタイム分析を提供します。,SIEM の重要な役割の1つは、組織のネットワーク全体にわたるセキュリティアラートのリアルタイムの監視と分析です。,Security Operations
